Nh,Ns,"(0, 1)","(5, 7)",胡雪岩,安徽绩溪,"['胡雪岩', '名光墉', '，', '字雪岩', '，', '安徽', '绩溪', '人', '，', '是', '我国', '近代', '历史', '上', '一位', '富有', '传奇色彩', '的', '人物', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(3, 4)","(5, 6)",王有龄,黄宗汉,"['他', '通过', '资助', '王有龄', '、', '黄宗汉', '、', '何桂清', '、', '左宗棠', '这些', '地方官吏', '和', '朝廷', '重臣', '，', '通过', '为', '他们', '出谋献策', '，', '出资', '出力', '，', '把', '他们', '的', '功名', '利益', '与', '自己', '紧紧', '地', '联系', '在', '一起', '，', '从而', '达到', '一种', '“', '一日', '不可', '无雪岩', '”', '的', '效果', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(3, 4)","(7, 8)",王有龄,何桂清,"['他', '通过', '资助', '王有龄', '、', '黄宗汉', '、', '何桂清', '、', '左宗棠', '这些', '地方官吏', '和', '朝廷', '重臣', '，', '通过', '为', '他们', '出谋献策', '，', '出资', '出力', '，', '把', '他们', '的', '功名', '利益', '与', '自己', '紧紧', '地', '联系', '在', '一起', '，', '从而', '达到', '一种', '“', '一日', '不可', '无雪岩', '”', '的', '效果', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(3, 4)","(9, 10)",王有龄,左宗棠,"['他', '通过', '资助', '王有龄', '、', '黄宗汉', '、', '何桂清', '、', '左宗棠', '这些', '地方官吏', '和', '朝廷', '重臣', '，', '通过', '为', '他们', '出谋献策', '，', '出资', '出力', '，', '把', '他们', '的', '功名', '利益', '与', '自己', '紧紧', '地', '联系', '在', '一起', '，', '从而', '达到', '一种', '“', '一日', '不可', '无雪岩', '”', '的', '效果', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(5, 6)","(7, 8)",黄宗汉,何桂清,"['他', '通过', '资助', '王有龄', '、', '黄宗汉', '、', '何桂清', '、', '左宗棠', '这些', '地方官吏', '和', '朝廷', '重臣', '，', '通过', '为', '他们', '出谋献策', '，', '出资', '出力', '，', '把', '他们', '的', '功名', '利益', '与', '自己', '紧紧', '地', '联系', '在', '一起', '，', '从而', '达到', '一种', '“', '一日', '不可', '无雪岩', '”', '的', '效果', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(5, 6)","(9, 10)",黄宗汉,左宗棠,"['他', '通过', '资助', '王有龄', '、', '黄宗汉', '、', '何桂清', '、', '左宗棠', '这些', '地方官吏', '和', '朝廷', '重臣', '，', '通过', '为', '他们', '出谋献策', '，', '出资', '出力', '，', '把', '他们', '的', '功名', '利益', '与', '自己', '紧紧', '地', '联系', '在', '一起', '，', '从而', '达到', '一种', '“', '一日', '不可', '无雪岩', '”', '的', '效果', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(7, 8)","(9, 10)",何桂清,左宗棠,"['他', '通过', '资助', '王有龄', '、', '黄宗汉', '、', '何桂清', '、', '左宗棠', '这些', '地方官吏', '和', '朝廷', '重臣', '，', '通过', '为', '他们', '出谋献策', '，', '出资', '出力', '，', '把', '他们', '的', '功名', '利益', '与', '自己', '紧紧', '地', '联系', '在', '一起', '，', '从而', '达到', '一种', '“', '一日', '不可', '无雪岩', '”', '的', '效果', '。']",胡雪岩全集（高阳）.txt
Ns,Nh,"(0, 1)","(2, 3)",浙江,王有龄,"['浙江', '巡抚', '王有龄', '，', '两江', '总督', '何桂清', '的', '升迁', '享乐', '离不开', '雪岩', '；']",胡雪岩全集（高阳）.txt
Ns,Ns,"(0, 1)","(4, 5)",浙江,两江,"['浙江', '巡抚', '王有龄', '，', '两江', '总督', '何桂清', '的', '升迁', '享乐', '离不开', '雪岩', '；']",胡雪岩全集（高阳）.txt
Ns,Nh,"(0, 1)","(6, 7)",浙江,何桂清,"['浙江', '巡抚', '王有龄', '，', '两江', '总督', '何桂清', '的', '升迁', '享乐', '离不开', '雪岩', '；']",胡雪岩全集（高阳）.txt
